기준년월,관광객유형,제주대분류,제주중분류,업종명,성별,연령대별,카드이용금액,카드이용건수,건당이용금액
Jan-15,내국인 관광객,제주시,연동,정장(여성),여,40대,3513200,46,76374
Jan-15,내국인 관광객,제주시,연동,스포츠레져용품,여,20대,9802510,129,75988
Jan-15,내국인 관광객,제주시,노형동,농축수산품,남,50대,3685000,49,75204
Jan-15,내국인 관광객,제주시,연동,농축수산품,여,20대,816500,11,74227
Jan-15,내국인 관광객,제주시,용담2동,농축수산품,남,50대,33912500,462,73404
Jan-15,내국인 관광객,제주시,연동,안경,여,30대,1380500,19,72658
Jan-15,내국인 관광객,제주시,삼도2동,스포츠레져용품,여,30대,2383700,33,72233
Jan-15,내국인 관광객,제주시,삼도2동,정장(여성),여,30대,2094400,29,72221
Jan-15,내국인 관광객,제주시,연동,기념품 점,남,50대,4227000,60,70450
Jan-15,내국인 관광객,제주시,연동,신   발,여,20대,913900,13,70300
Jan-15,내국인 관광객,제주시,연동,정장(여성),여,20대,1883900,27,69774
Jan-15,내국인 관광객,제주시,연동,악세 사리,여,30대,1321700,19,69563
Jan-15,내국인 관광객,제주시,이도2동,정장(여성),여,40대,762800,11,69345
Jan-15,내국인 관광객,제주시,용담2동,농축수산품,남,40대,26345180,382,68966
Jan-15,내국인 관광객,서귀포시,남원읍,농축수산품,남,30대,5612100,82,68440
Jan-15,내국인 관광객,제주시,이도2동,농축수산품,남,50대,19623070,287,68373
Jan-15,내국인 관광객,제주시,연동,농축수산품,여,30대,2391100,35,68317
Jan-15,내국인 관광객,서귀포시,예래동,농축수산품,여,40대,2908900,43,67649
Jan-15,내국인 관광객,서귀포시,예래동,스포츠레져용품,여,50대,1074000,16,67125
Jan-15,내국인 관광객,제주시,노형동,안경,남,30대,795000,12,66250
Jan-15,내국인 관광객,제주시,연동,안경,남,30대,1059000,16,66188
Jan-15,내국인 관광객,서귀포시,예래동,농축수산품,남,20대,1518000,23,66000
Jan-15,내국인 관광객,제주시,삼도2동,정장(여성),여,20대,1319600,20,65980
Jan-15,내국인 관광객,제주시,연동,농축수산품,남,30대,1714100,26,65927
Jan-15,내국인 관광객,서귀포시,성산읍,농축수산품,남,40대,16716700,254,65814
Jan-15,내국인 관광객,서귀포시,남원읍,농축수산품,남,40대,10815100,165,65546
Jan-15,내국인 관광객,제주시,노형동,농축수산품,남,40대,3077700,47,65483
Jan-15,내국인 관광객,서귀포시,성산읍,농축수산품,여,50대,9809900,150,65399
Jan-15,내국인 관광객,서귀포시,대륜동,농축수산품,남,20대,774000,12,64500
Jan-15,내국인 관광객,제주시,용담2동,농축수산품,여,50대,25748470,401,64211
Jan-15,내국인 관광객,서귀포시,남원읍,농축수산품,여,20대,1533500,24,63896
Jan-15,내국인 관광객,서귀포시,성산읍,농축수산품,여,40대,11285500,179,63047
Jan-15,내국인 관광객,서귀포시,성산읍,농축수산품,여,30대,11971500,190,63008
Jan-15,내국인 관광객,제주시,노형동,안경,여,30대,672000,11,61091
Jan-15,내국인 관광객,제주시,애월읍,농축수산품,여,50대,2129000,35,60829
Jan-15,내국인 관광객,제주시,애월읍,농축수산품,남,50대,2183500,36,60653
Jan-15,내국인 관광객,제주시,노형동,기념품 점,여,40대,1930000,32,60313
Jan-15,내국인 관광객,서귀포시,성산읍,정장(여성),여,40대,657800,11,59800
Jan-15,내국인 관광객,제주시,삼도2동,농축수산품,여,40대,950000,16,59375
Jan-15,내국인 관광객,제주시,연동,농축수산품,남,20대,587000,10,58700
Jan-15,내국인 관광객,서귀포시,성산읍,농축수산품,남,30대,11321000,193,58658
Jan-15,내국인 관광객,제주시,이도2동,정장(여성),여,20대,3561900,61,58392
Jan-15,내국인 관광객,제주시,이도2동,농축수산품,여,50대,13891980,240,57883
Jan-15,내국인 관광객,제주시,연동,기념품 점,남,40대,2189500,38,57618
Jan-15,내국인 관광객,제주시,용담2동,농축수산품,여,30대,12169530,214,56867
Jan-15,내국인 관광객,서귀포시,남원읍,농축수산품,여,40대,5558500,98,56719
Jan-15,내국인 관광객,제주시,연동,의원,여,50대,1620200,29,55869
Jan-15,내국인 관광객,제주시,노형동,농축수산품,남,30대,1499000,27,55519
Jan-15,내국인 관광객,제주시,이도2동,안경,여,30대,610000,11,55455
Jan-15,내국인 관광객,제주시,이도2동,농축수산품,남,30대,4837960,88,54977
Jan-15,내국인 관광객,제주시,연동,악세 사리,여,50대,602600,11,54782
Jan-15,내국인 관광객,제주시,용담2동,농축수산품,남,30대,11474400,210,54640
Jan-15,내국인 관광객,제주시,연동,기념품 점,여,40대,1834800,34,53965
Jan-15,내국인 관광객,제주시,연동,의원,여,40대,4040170,75,53869
Jan-15,내국인 관광객,서귀포시,남원읍,농축수산품,여,30대,4064000,76,53474
Jan-15,내국인 관광객,제주시,용담2동,농축수산품,여,40대,18052500,347,52024
Jan-15,내국인 관광객,제주시,이도2동,농축수산품,남,20대,1126600,22,51209
Jan-15,내국인 관광객,제주시,이도2동,농축수산품,남,40대,10629830,210,50618
Jan-15,내국인 관광객,제주시,이도2동,농축수산품,여,40대,8741370,173,50528
Jan-15,내국인 관광객,제주시,이도2동,안경,남,20대,552000,11,50182
Jan-15,내국인 관광객,서귀포시,대륜동,농축수산품,여,20대,2035000,41,49634
Jan-15,내국인 관광객,제주시,노형동,기념품 점,남,30대,879300,18,48850
Jan-15,내국인 관광객,제주시,노형동,농축수산품,여,50대,1261600,26,48523
Jan-15,내국인 관광객,제주시,삼도2동,농축수산품,남,40대,966600,20,48330
Jan-15,내국인 관광객,서귀포시,성산읍,농축수산품,남,20대,4025500,84,47923
Jan-15,내국인 관광객,제주시,연동,안경,여,20대,1183000,25,47320
Jan-15,내국인 관광객,제주시,노형동,정장(여성),남,50대,460700,10,46070
Jan-15,내국인 관광객,제주시,이도2동,안경,여,20대,1741000,38,45816
Jan-15,내국인 관광객,제주시,이도2동,안경,남,30대,727000,16,45438
Jan-15,내국인 관광객,제주시,연동,기념품 점,여,50대,1399000,31,45129
Jan-15,내국인 관광객,서귀포시,예래동,스포츠레져용품,남,40대,496000,11,45091
Jan-15,내국인 관광객,서귀포시,예래동,기념품 점,남,40대,1881700,42,44802
Jan-15,내국인 관광객,제주시,노형동,기념품 점,남,50대,976300,22,44377
Jan-15,내국인 관광객,제주시,삼도2동,농축수산품,여,30대,1060000,24,44167
Jan-15,내국인 관광객,서귀포시,성산읍,농축수산품,여,20대,6078900,139,43733
Jan-15,내국인 관광객,제주시,삼도2동,의원,여,50대,604200,14,43157
Jan-15,내국인 관광객,제주시,노형동,기념품 점,남,40대,1118200,26,43008
Jan-15,내국인 관광객,제주시,노형동,농축수산품,여,40대,1925900,45,42798
Jan-15,내국인 관광객,제주시,이도2동,농축수산품,여,30대,4271440,101,42291
Jan-15,내국인 관광객,제주시,노형동,정장(여성),여,20대,748800,18,41600
Jan-15,내국인 관광객,제주시,삼도2동,스포츠레져용품,여,20대,992200,24,41342
Jan-15,내국인 관광객,제주시,이도2동,슈퍼 마켓,여,40대,18517050,449,41241
Jan-15,내국인 관광객,제주시,연동,악세 사리,여,40대,779400,19,41021
Jan-15,내국인 관광객,제주시,이도2동,농축수산품,여,20대,1475160,36,40977
Jan-15,내국인 관광객,제주시,노형동,기념품 점,여,20대,1144850,28,40888
Jan-15,내국인 관광객,서귀포시,남원읍,농축수산품,남,20대,648150,16,40509
Jan-15,내국인 관광객,제주시,연동,악세 사리,여,20대,1651500,41,40280
Jan-15,내국인 관광객,제주시,이도2동,의원,남,30대,4330510,109,39729
Jan-15,내국인 관광객,서귀포시,예래동,농축수산품,여,20대,1269800,32,39681
Jan-15,내국인 관광객,제주시,용담2동,농축수산품,남,20대,3014250,77,39146
Jan-15,내국인 관광객,서귀포시,남원읍,약국,여,30대,462400,12,38533
Jan-15,내국인 관광객,제주시,삼도2동,농축수산품,여,50대,767300,20,38365
Jan-15,내국인 관광객,제주시,이도2동,의원,여,20대,1909510,51,37441
Jan-15,내국인 관광객,제주시,용담2동,기타음료식품,남,50대,368800,10,36880
Jan-15,내국인 관광객,제주시,애월읍,농축수산품,남,40대,1832500,51,35931
Jan-15,내국인 관광객,제주시,연동,의원,남,50대,733500,21,34929
Jan-15,내국인 관광객,제주시,애월읍,농축수산품,여,40대,1796050,52,34539
Jan-15,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,30대,28288200,821,34456
Jan-15,내국인 관광객,제주시,삼도2동,의원,여,30대,818200,24,34092
Jan-15,내국인 관광객,제주시,노형동,농축수산품,여,30대,840100,25,33604
Jan-15,내국인 관광객,제주시,용담2동,기념품 점,남,50대,27343600,825,33144
Jan-15,내국인 관광객,제주시,연동,기념품 점,남,30대,1849900,56,33034
Jan-15,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,50대,15082960,461,32718
Jan-15,내국인 관광객,제주시,용담2동,농축수산품,여,20대,4900140,150,32668
Jan-15,내국인 관광객,제주시,이도2동,의원,여,40대,1404500,43,32663
Jan-15,내국인 관광객,제주시,노형동,기념품 점,여,30대,937000,29,32310
Jan-15,내국인 관광객,제주시,노형동,농축수산품,남,20대,516200,16,32263
Jan-15,내국인 관광객,제주시,용담2동,의원,남,30대,321100,10,32110
Jan-15,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,40대,22149810,696,31824
Jan-15,내국인 관광객,제주시,연동,기념품 점,여,30대,1168000,37,31568
Jan-15,내국인 관광객,제주시,연동,의원,여,30대,2150810,69,31171
Jan-15,내국인 관광객,제주시,용담2동,기념품 점,남,40대,31298100,1015,30836
Jan-15,내국인 관광객,제주시,이도2동,슈퍼 마켓,여,50대,10575070,344,30741
Jan-15,내국인 관광객,제주시,노형동,안경,여,20대,307000,10,30700
Jan-15,내국인 관광객,서귀포시,예래동,스포츠레져용품,남,50대,1006600,33,30503
Jan-15,내국인 관광객,제주시,용담2동,기념품 점,여,40대,26830000,891,30112
Jan-15,내국인 관광객,제주시,용담2동,기념품 점,여,50대,19276400,642,30026
Jan-15,내국인 관광객,제주시,노형동,의원,여,40대,4225000,142,29754
Jan-15,내국인 관광객,제주시,노형동,기념품 점,남,20대,977700,33,29627
Jan-15,내국인 관광객,제주시,노형동,의원,여,50대,2156200,73,29537
Jan-15,내국인 관광객,제주시,삼도2동,악세 사리,여,50대,376700,13,28977
Jan-15,내국인 관광객,서귀포시,대륜동,기타음료식품,여,30대,288000,10,28800
Jan-15,내국인 관광객,제주시,용담2동,기념품 점,여,30대,24199700,851,28437
Jan-15,내국인 관광객,제주시,애월읍,스포츠레져용품,여,50대,336000,12,28000
Jan-15,내국인 관광객,제주시,연동,기념품 점,남,20대,1393500,50,27870
Jan-15,내국인 관광객,제주시,노형동,의원,남,40대,5793402,208,27853
Jan-15,내국인 관광객,서귀포시,성산읍,기념품 점,남,50대,2700000,97,27835
Jan-15,내국인 관광객,제주시,노형동,기타음료식품,남,50대,1196130,43,27817
Jan-15,내국인 관광객,제주시,노형동,기타음료식품,여,50대,415340,15,27689
Jan-15,내국인 관광객,제주시,용담2동,기념품 점,남,30대,21885200,793,27598
Jan-15,내국인 관광객,제주시,이도2동,슈퍼 마켓,여,30대,17344360,634,27357
Jan-15,내국인 관광객,서귀포시,예래동,기념품 점,남,50대,401000,15,26733
Jan-15,내국인 관광객,제주시,연동,기념품 점,여,20대,1677000,63,26619
Jan-15,내국인 관광객,제주시,애월읍,스넥,여,40대,5879750,225,26132
Jan-15,내국인 관광객,제주시,이도2동,의원,남,20대,858510,33,26015
Jan-15,내국인 관광객,서귀포시,성산읍,기타음료식품,남,50대,822800,32,25713
Jan-15,내국인 관광객,제주시,애월읍,스넥,남,50대,3896000,152,25632
Jan-15,내국인 관광객,서귀포시,성산읍,기념품 점,여,40대,5895000,232,25409
Jan-15,내국인 관광객,서귀포시,성산읍,기념품 점,남,40대,7360000,292,25205
Jan-15,내국인 관광객,제주시,연동,스넥,남,40대,6098210,242,25199
Jan-15,내국인 관광객,제주시,삼도2동,악세 사리,여,40대,576300,23,25057
Jan-15,내국인 관광객,제주시,삼도2동,농축수산품,여,20대,348800,14,24914
Jan-15,내국인 관광객,서귀포시,대륜동,기타음료식품,여,50대,296500,12,24708
Jan-15,내국인 관광객,제주시,이도2동,스포츠레져용품,남,30대,613800,25,24552
Jan-15,내국인 관광객,제주시,삼도2동,악세 사리,여,30대,511000,21,24333
Jan-15,내국인 관광객,제주시,애월읍,농축수산품,남,30대,1918500,79,24285
Jan-15,내국인 관광객,제주시,용담2동,슈퍼 마켓,여,40대,3273680,135,24249
Jan-15,내국인 관광객,서귀포시,대륜동,기타음료식품,여,40대,871900,36,24219
Jan-15,내국인 관광객,제주시,삼도2동,악세 사리,남,40대,241600,10,24160
Jan-15,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,남,40대,3354640,140,23962
Jan-15,내국인 관광객,서귀포시,성산읍,스넥,남,50대,1291000,54,23907
Jan-15,내국인 관광객,제주시,애월읍,슈퍼 마켓,여,50대,2294840,96,23905
Jan-15,내국인 관광객,제주시,애월읍,스넥,남,40대,6662230,279,23879
Jan-15,내국인 관광객,제주시,용담2동,기념품 점,남,20대,12468200,523,23840
Jan-15,내국인 관광객,제주시,노형동,기념품 점,여,50대,236400,10,23640
Jan-15,내국인 관광객,제주시,연동,의원,여,20대,945000,40,23625
Jan-15,내국인 관광객,제주시,노형동,농축수산품,여,20대,542300,23,23578
Jan-15,내국인 관광객,서귀포시,성산읍,기타음료식품,여,40대,534200,23,23226
Jan-15,내국인 관광객,제주시,노형동,의원,남,20대,1453661,63,23074
Jan-15,내국인 관광객,제주시,노형동,슈퍼 마켓,여,50대,6144410,267,23013
Jan-15,내국인 관광객,서귀포시,성산읍,스넥,여,40대,1945000,85,22882
Jan-15,내국인 관광객,제주시,이도2동,기타음료식품,여,20대,616700,27,22841
Jan-15,내국인 관광객,제주시,삼도2동,의원,여,20대,296900,13,22838
Jan-15,내국인 관광객,서귀포시,남원읍,기타음료식품,남,50대,317400,14,22671
Jan-15,내국인 관광객,서귀포시,성산읍,기념품 점,여,50대,1356000,60,22600
Jan-15,내국인 관광객,제주시,노형동,슈퍼 마켓,여,40대,11537400,512,22534
Jan-15,내국인 관광객,서귀포시,성산읍,기념품 점,여,30대,5921800,263,22516
Jan-15,내국인 관광객,제주시,용담2동,의원,여,30대,404070,18,22448
Jan-15,내국인 관광객,제주시,이도2동,의원,여,30대,2378100,106,22435
Jan-15,내국인 관광객,서귀포시,성산읍,기념품 점,남,30대,5233500,234,22365
Jan-15,내국인 관광객,제주시,노형동,의원,남,30대,3246829,147,22087
Jan-15,내국인 관광객,제주시,이도2동,슈퍼 마켓,여,20대,6516560,296,22015
Jan-15,내국인 관광객,제주시,용담2동,기념품 점,여,20대,16573340,757,21893
Jan-15,내국인 관광객,제주시,애월읍,슈퍼 마켓,여,40대,4771540,218,21888
Jan-15,내국인 관광객,제주시,이도2동,악세 사리,여,30대,370000,17,21765
Jan-15,내국인 관광객,서귀포시,예래동,기념품 점,여,40대,888700,41,21676
Jan-15,내국인 관광객,제주시,노형동,의원,남,50대,2092700,97,21574
Jan-15,내국인 관광객,서귀포시,성산읍,스넥,남,40대,1834000,86,21326
Jan-15,내국인 관광객,서귀포시,성산읍,기념품 점,남,20대,1128500,53,21292
Jan-15,내국인 관광객,제주시,애월읍,농축수산품,여,30대,1969031,93,21172
Jan-15,내국인 관광객,제주시,연동,슈퍼 마켓,여,50대,6217260,294,21147
Jan-15,내국인 관광객,제주시,이도2동,의원,남,40대,2146600,102,21045
Jan-15,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,남,50대,6845310,326,20998
Jan-15,내국인 관광객,제주시,연동,스넥,여,50대,1504900,72,20901
Jan-15,내국인 관광객,제주시,연동,기타음료식품,남,30대,480440,23,20889
Jan-15,내국인 관광객,제주시,이도2동,악세 사리,여,20대,791000,38,20816
Jan-15,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,여,30대,6473980,312,20750
Jan-15,내국인 관광객,제주시,노형동,의원,여,30대,5224800,253,20651
Jan-15,내국인 관광객,제주시,이도2동,의원,여,50대,575410,28,20550
Jan-15,내국인 관광객,제주시,노형동,약국,남,50대,2506160,122,20542
Jan-15,내국인 관광객,제주시,용담2동,슈퍼 마켓,남,50대,3224770,157,20540
Jan-15,내국인 관광객,제주시,애월읍,스넥,여,50대,2439400,119,20499
Jan-15,내국인 관광객,서귀포시,예래동,기타음료식품,여,50대,1188550,58,20492
Jan-15,내국인 관광객,서귀포시,성산읍,스넥,남,20대,1287300,63,20433
Jan-15,내국인 관광객,제주시,애월읍,스넥,남,20대,4097208,201,20384
Jan-15,내국인 관광객,제주시,노형동,슈퍼 마켓,남,50대,12648960,624,20271
Jan-15,내국인 관광객,제주시,연동,슈퍼 마켓,남,50대,11590540,572,20263
Jan-15,내국인 관광객,서귀포시,예래동,스넥,남,50대,3119660,154,20258
Jan-15,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,남,50대,2716050,135,20119
Jan-15,내국인 관광객,제주시,이도2동,약국,남,50대,1589360,79,20118
Jan-15,내국인 관광객,서귀포시,예래동,기타음료식품,남,50대,1561340,78,20017
Jan-15,내국인 관광객,제주시,노형동,슈퍼 마켓,남,40대,15025350,752,19981
Jan-15,내국인 관광객,서귀포시,성산읍,기념품 점,여,20대,1676900,84,19963
Jan-15,내국인 관광객,서귀포시,남원읍,기타음료식품,여,40대,259400,13,19954
Jan-15,내국인 관광객,제주시,연동,슈퍼 마켓,여,30대,12310110,618,19919
Jan-15,내국인 관광객,제주시,애월읍,슈퍼 마켓,남,40대,7870830,398,19776
Jan-15,내국인 관광객,제주시,용담2동,슈퍼 마켓,남,40대,3320510,169,19648
Jan-15,내국인 관광객,서귀포시,성산읍,스넥,여,50대,550000,28,19643
Jan-15,내국인 관광객,제주시,연동,슈퍼 마켓,여,40대,10571960,540,19578
Jan-15,내국인 관광객,서귀포시,예래동,기타음료식품,남,20대,1572600,81,19415
Jan-15,내국인 관광객,제주시,용담2동,기타음료식품,남,40대,251800,13,19369
Jan-15,내국인 관광객,제주시,노형동,기타음료식품,여,40대,890820,46,19366
Jan-15,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,여,40대,1529490,79,19361
Jan-15,내국인 관광객,제주시,연동,스넥,남,50대,2611600,135,19345
Jan-15,내국인 관광객,서귀포시,대륜동,슈퍼 마켓,남,30대,1779140,92,19338
Jan-15,내국인 관광객,서귀포시,예래동,슈퍼 마켓,남,50대,1526538,79,19323
Jan-15,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,여,50대,3310490,172,19247
Jan-15,내국인 관광객,서귀포시,성산읍,기타음료식품,여,50대,383800,20,19190
Jan-15,내국인 관광객,제주시,노형동,슈퍼 마켓,남,30대,9647340,503,19180
Jan-15,내국인 관광객,제주시,연동,의원,남,30대,1263100,66,19138
Jan-15,내국인 관광객,서귀포시,성산읍,스넥,남,30대,2410000,126,19127
Jan-15,내국인 관광객,서귀포시,대륜동,기타음료식품,남,40대,955100,50,19102
Jan-15,내국인 관광객,제주시,용담2동,의원,여,50대,225750,12,18813
Jan-15,내국인 관광객,서귀포시,남원읍,기타음료식품,남,40대,260000,14,18571
Jan-15,내국인 관광객,제주시,용담2동,의원,남,50대,241400,13,18569
Jan-15,내국인 관광객,제주시,애월읍,슈퍼 마켓,남,50대,5438990,293,18563
Jan-15,내국인 관광객,서귀포시,남원읍,스포츠레져용품,남,50대,496800,27,18400
Jan-15,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,여,50대,1007480,55,18318
Jan-15,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,남,40대,7701480,421,18293
Jan-15,내국인 관광객,제주시,노형동,의원,여,20대,2569500,141,18223
Jan-15,내국인 관광객,서귀포시,예래동,기타음료식품,남,40대,3921400,216,18155
Jan-15,내국인 관광객,서귀포시,대륜동,슈퍼 마켓,남,50대,852540,47,18139
Jan-15,내국인 관광객,서귀포시,대륜동,슈퍼 마켓,여,40대,469440,26,18055
Jan-15,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,여,40대,4646980,258,18012
Jan-15,내국인 관광객,서귀포시,대륜동,기타음료식품,남,30대,288000,16,18000
Jan-15,내국인 관광객,제주시,애월읍,스넥,남,30대,7941600,442,17967
Jan-15,내국인 관광객,서귀포시,남원읍,스포츠레져용품,남,40대,233500,13,17962
Jan-15,내국인 관광객,서귀포시,남원읍,스넥,남,50대,929500,52,17875
Jan-15,내국인 관광객,서귀포시,예래동,기타음료식품,여,40대,3437900,193,17813
Jan-15,내국인 관광객,서귀포시,남원읍,스넥,남,40대,1770000,100,17700
Jan-15,내국인 관광객,제주시,용담2동,슈퍼 마켓,여,30대,1765010,100,17650
Jan-15,내국인 관광객,제주시,연동,슈퍼 마켓,남,40대,15076870,856,17613
Jan-15,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,여,20대,545880,31,17609
Jan-15,내국인 관광객,제주시,이도2동,스넥,남,50대,1685600,96,17558
Jan-15,내국인 관광객,제주시,용담2동,슈퍼 마켓,남,30대,4330450,249,17391
Jan-15,내국인 관광객,서귀포시,성산읍,스넥,여,30대,2295000,132,17386
Jan-15,내국인 관광객,서귀포시,남원읍,의원,여,50대,190200,11,17291
Jan-15,내국인 관광객,제주시,애월읍,스넥,여,30대,8806600,510,17268
Jan-15,내국인 관광객,서귀포시,예래동,기념품 점,남,30대,688900,40,17223
Jan-15,내국인 관광객,제주시,삼도2동,슈퍼 마켓,여,50대,564210,33,17097
Jan-15,내국인 관광객,서귀포시,남원읍,약국,남,40대,239300,14,17093
Jan-15,내국인 관광객,서귀포시,성산읍,스넥,여,20대,2378500,140,16989
Jan-15,내국인 관광객,제주시,애월읍,농축수산품,여,20대,1000500,59,16958
Jan-15,내국인 관광객,제주시,연동,기타음료식품,남,40대,372900,22,16950
Jan-15,내국인 관광객,서귀포시,대륜동,기타음료식품,남,20대,237000,14,16929
Jan-15,내국인 관광객,서귀포시,남원읍,의원,남,50대,484600,29,16710
Jan-15,내국인 관광객,서귀포시,예래동,기타음료식품,남,30대,2167000,130,16669
Jan-15,내국인 관광객,서귀포시,대륜동,슈퍼 마켓,남,40대,1916130,115,16662
Jan-15,내국인 관광객,제주시,연동,스넥,여,40대,2954100,178,16596
Jan-15,내국인 관광객,서귀포시,예래동,스넥,여,50대,1406580,85,16548
Jan-15,내국인 관광객,제주시,삼도2동,악세 사리,여,20대,479400,29,16531
Jan-15,내국인 관광객,제주시,이도2동,약국,남,40대,2165250,131,16529
Jan-15,내국인 관광객,제주시,이도2동,의원,남,50대,775900,47,16509
Jan-15,내국인 관광객,제주시,노형동,슈퍼 마켓,여,30대,8277210,504,16423
Jan-15,내국인 관광객,서귀포시,예래동,기타음료식품,여,30대,1837850,112,16409
Jan-15,내국인 관광객,제주시,애월읍,농축수산품,남,20대,475000,29,16379
Jan-15,내국인 관광객,서귀포시,대륜동,기타음료식품,남,50대,229000,14,16357
Jan-15,내국인 관광객,제주시,노형동,기타음료식품,남,40대,453420,28,16194
Jan-15,내국인 관광객,제주시,애월읍,슈퍼 마켓,여,30대,3557840,221,16099
Jan-15,내국인 관광객,제주시,연동,스넥,남,30대,4149600,260,15960
Jan-15,내국인 관광객,서귀포시,성산읍,기타음료식품,남,40대,557200,35,15920
Jan-15,내국인 관광객,제주시,애월읍,슈퍼 마켓,남,30대,5123020,322,15910
Jan-15,내국인 관광객,서귀포시,예래동,슈퍼 마켓,남,40대,1142730,72,15871
Jan-15,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,남,20대,3595890,227,15841
Jan-15,내국인 관광객,서귀포시,남원읍,기타음료식품,여,30대,285000,18,15833
Jan-15,내국인 관광객,제주시,삼도2동,슈퍼 마켓,남,50대,648060,41,15806
Jan-15,내국인 관광객,서귀포시,예래동,스넥,남,40대,5014460,320,15670
Jan-15,내국인 관광객,제주시,연동,슈퍼 마켓,남,30대,13824960,883,15657
Jan-15,내국인 관광객,제주시,연동,스넥,남,20대,3084400,198,15578
Jan-15,내국인 관광객,서귀포시,예래동,스넥,남,30대,2782380,179,15544
Jan-15,내국인 관광객,제주시,애월읍,스넥,여,20대,6691590,431,15526
Jan-15,내국인 관광객,제주시,연동,약국,남,50대,1332400,86,15493
Jan-15,내국인 관광객,서귀포시,예래동,스넥,여,30대,3141810,203,15477
Jan-15,내국인 관광객,제주시,연동,스넥,여,30대,5395800,350,15417
Jan-15,내국인 관광객,제주시,애월읍,약국,여,50대,214900,14,15350
Jan-15,내국인 관광객,서귀포시,남원읍,약국,남,50대,259600,17,15271
Jan-15,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,여,30대,1205280,79,15257
Jan-15,내국인 관광객,서귀포시,성산읍,기타음료식품,남,30대,366000,24,15250
Jan-15,내국인 관광객,제주시,노형동,슈퍼 마켓,남,20대,3482480,230,15141
Jan-15,내국인 관광객,제주시,연동,약국,여,40대,1734890,115,15086
Jan-15,내국인 관광객,제주시,삼도2동,슈퍼 마켓,여,40대,873990,58,15069
Jan-15,내국인 관광객,제주시,용담2동,슈퍼 마켓,여,50대,1687670,112,15068
Jan-15,내국인 관광객,서귀포시,성산읍,의원,남,50대,178500,12,14875
Jan-15,내국인 관광객,서귀포시,남원읍,스넥,여,40대,1591000,107,14869
Jan-15,내국인 관광객,제주시,이도2동,스넥,남,40대,3312900,226,14659
Jan-15,내국인 관광객,서귀포시,예래동,기념품 점,여,30대,262000,18,14556
Jan-15,내국인 관광객,서귀포시,예래동,기념품 점,여,20대,145200,10,14520
Jan-15,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,남,30대,6417950,443,14487
Jan-15,내국인 관광객,제주시,노형동,기타음료식품,남,20대,144650,10,14465
Jan-15,내국인 관광객,서귀포시,예래동,기타음료식품,여,20대,1721150,119,14463
Jan-15,내국인 관광객,제주시,삼도2동,슈퍼 마켓,남,40대,1299300,90,14437
Jan-15,내국인 관광객,서귀포시,예래동,슈퍼 마켓,여,40대,447040,31,14421
Jan-15,내국인 관광객,서귀포시,남원읍,스넥,여,50대,807000,56,14411
Jan-15,내국인 관광객,제주시,노형동,약국,여,50대,936310,65,14405
Jan-15,내국인 관광객,서귀포시,성산읍,의원,남,30대,156900,11,14264
Jan-15,내국인 관광객,서귀포시,대륜동,슈퍼 마켓,여,50대,255510,18,14195
Jan-15,내국인 관광객,제주시,이도2동,약국,남,30대,2021780,143,14138
Jan-15,내국인 관광객,제주시,이도2동,약국,여,40대,1127850,80,14098
Jan-15,내국인 관광객,제주시,연동,약국,남,40대,1897980,135,14059
Jan-15,내국인 관광객,제주시,연동,스넥,여,20대,4544000,327,13896
Jan-15,내국인 관광객,제주시,애월읍,슈퍼 마켓,여,20대,1372510,99,13864
Jan-15,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,남,30대,1366100,99,13799
Jan-15,내국인 관광객,제주시,연동,기타음료식품,여,30대,206600,15,13773
Jan-15,내국인 관광객,서귀포시,성산읍,기타음료식품,여,30대,343600,25,13744
Jan-15,내국인 관광객,제주시,연동,슈퍼 마켓,여,20대,4529250,332,13642
Jan-15,내국인 관광객,제주시,애월읍,약국,남,40대,327100,24,13629
Jan-15,내국인 관광객,제주시,연동,기타음료식품,남,20대,271700,20,13585
Jan-15,내국인 관광객,서귀포시,성산읍,기타음료식품,여,20대,267400,20,13370
Jan-15,내국인 관광객,서귀포시,예래동,스넥,남,20대,1363050,102,13363
Jan-15,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,20대,3337970,253,13194
Jan-15,내국인 관광객,서귀포시,예래동,스넥,여,40대,3559690,270,13184
Jan-15,내국인 관광객,제주시,삼도2동,의원,남,30대,210400,16,13150
Jan-15,내국인 관광객,제주시,연동,약국,남,30대,2084770,160,13030
